approveDate,articleID,articleWordCount,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,inReplyTo,newDesk,parentID,parentUserDisplayName,permID,picURL,printPage,recommendations,recommendedFlag,replyCount,reportAbuseFlag,sectionName,sharing,status,timespeople,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL,typeOfMaterial
1520043821,5a974697410cf7000162e8a4,1207,If the choice is between mining for bitcoin - which wastes hydroelectric power and takes up empty office space -- or mining for gold &amp; diamonds - which is hugely destructive to people and the environment in developing countries - I think we can live with bitcoin mining.,26188943,26188943,<br/>,comment,1520029445,1,0,0,Business,0,,26188943,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/4690/3103/cropped-46903103.jpg?0.043739721712595214,1,10,,0,,Economy,1,approved,1,0,1520043821,Steve,46903103,Florida,,,News
1520043790,5a974697410cf7000162e8a4,1207,"<br/>To me, Bitcoin (et al) appears to be an expensive game a number of speculative people, many who want to hide their money, are playing. <br/><br/>The problem: it is only etherial math. Neat, but not worth anything if people get turned off the game by losing money. A matter of time, I believe, because it's too much like a Ponzi scheme.",26189292,26189292,<br/>,comment,1520031265,1,0,0,Business,0,,26189292,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,8,,0,,Economy,0,approved,1,0,1520043790,MyOpinion,82778,NYC,,,News
1520043789,5a974697410cf7000162e8a4,1207,"Bitcoin is a pyramid scheme backed by nothing and meaning nothing.  It is useful to criminal enterprises, terrorists and those bent on evading taxes. It is not a generally accepted form of currency and it will never be.  Yes, we are wasting huge amounts of economic potential on financial engineering instead of building infrastructure, devising new architectural methods, and rising to the challenges of global warming, rising seas, harsh storms and lack of potable water.  When the historians look back on us a thousand years hence (if there are historians a thousand years hence), they will see how foolish our moment in time was.  And, they will laugh and cry over our stupidity. ",26189645,26189645,<br/>,comment,1520033172,1,0,0,Business,0,,26189645,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,13,,0,,Economy,0,approved,1,0,1520043789,Bert Gold,3013548,"Frederick, Maryland",,,News
1520043788,5a974697410cf7000162e8a4,1207,"What does it cost in energy to dig up and refine an ounce of gold?  Are bitcoins any worse?  It's important to realize that they're not ""virtual dollars"", but rather ""virtual gold"", and subject to the same sort of lunacy as all precious metals.<br/>Thus, the main problem with a bitcoin is that its ""value"" tomorrow, let alone next week, is unknowable, while it's price is much more easily manipulated than is the price of gold or the value of a dollar.<br/>Cryptocurrencies have only two utilties: (1) you can buy goods or services on the other side of the world without having to pay extortionate fees to financial institutions, and (2) tax and law enforcement authorities can't detect or trace the transaction.   I'm pretty sure #2 is the biggie right now, although I'd be happy to take advantage of #1 if the medium could hold a consistent value from contract through purchase.",26189102,26189102,<br/>,comment,1520030291,1,0,0,Business,0,,26189102,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,2,,0,,Economy,0,approved,1,0,1520043788,James Demers,70245222,Brooklyn,,,News
1520043787,5a974697410cf7000162e8a4,1207,You forgot to mention stock buybacks. ,26189683,26189683,<br/>,comment,1520033404,1,0,0,Business,0,,26189683,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,5,,0,,Economy,0,approved,1,0,1520043787,Bill,66424344,California,,,News
1520043787,5a974697410cf7000162e8a4,1207,The unquestioned value of crypto currencies is that they provide an easy way for organized crime syndicates of all stripes to launder their ill gotten millions and billions while making suckers out of governments and the rest of us.,26189561,26189561,<br/>,comment,1520032673,1,0,0,Business,0,,26189561,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,6,,0,,Economy,0,approved,1,0,1520043787,Mark Lobel,4008701,Houston Texas,,,News
1520033975,5a974697410cf7000162e8a4,1207,Bitcoin will change government profoundly.  With Bitcoin people have a choice if they want to pay taxes on income or transactions.  If people don't like the government they won't pay taxes.  This could cause dissolutions of unpopular governments.,26189763,26189763,<br/>,comment,1520033972,1,0,0,Business,0,,26189763,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,5,,0,,Economy,0,approved,1,0,1520033975,ThirdThots,65370797,Here,,,News
1520030595,5a974697410cf7000162e8a4,1207,"Of course currencies have always been virtual and value never actually is “in” the objects produced. The “waste of electricity” mining virtual currencies just puts the relations of production, consumption and waste that have always been there in that much starker relief. Haven’t we always been wasting electricity? Is producing billions of tons of plastic Happy Meal toys, styrofoam cups and cheap disposable-this or single-use-that really a more virtuous use of resources and labor? ",26189177,26189177,<br/>,comment,1520030591,1,0,0,Business,0,,26189177,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,31,,1,,Economy,0,approved,1,0,1520030595,Professor D,62903934,"Nanjing, China",,,News
1520030223,5a974697410cf7000162e8a4,1207,"Bitcoin is a scam and waste of electricity. So is most of the electricity used for cell-phones, Facebook, Snapchat, emails.",26189087,26189087,<br/>,comment,1520030219,1,0,0,Business,0,,26189087,https://s3.amazonaws.com/pimage.timespeople.nytimes.com/1830/1698/cropped-18301698.jpg?0.5096556210607586,1,14,,0,,Economy,0,approved,1,1,1520030223,Loyd Eskildson,18301698,"Phoenix, AZ.",,,News
1520029448,5a974697410cf7000162e8a4,1207,"Cryptocurrencies like Bitcoin are difficult to explain, no less understand. That's the case for many things labeled ""virtual"", and it's therefore to be expected that many will criticize them as a waste of time.<br/><br/>But this tendency to rebel against something that seems inexplicable should be resisted. You don't need to look far for other examples of similar ""waste"". Around 2005 there was a worldwide ringtone market valued over 3 billion dollars per year. How much energy was used to produce, advertise, sell and distribute these sounds? How much energy is consumed by social media, whose profit comes from selling advertising? Would tying ads to Bitcoin make it more real, more justified?<br/><br/>Bitcoin may have a less than obvious purpose to many, but even if viewed as nothing more than online gambling (another energy user) it's right smack in the middle of a long list of very human, and increasingly virtual, endevors.",26188503,26188503,<br/>,comment,1520027297,1,0,0,Business,0,,26188503,https://graphics8.nytimes.com/images/apps/timespeople/none.png,1,8,,1,,Economy,0,approved,1,0,1520029448,Robert Tortorelli,44825472,New York,,,News
